datetime,open,high,low,close,volume
2025-01-10 04:00:00-05:00,588.11,588.29,588.11,588.29,1769.0
2025-01-10 04:01:00-05:00,588.2,588.24,588.01,588.01,13290.0
2025-01-10 04:03:00-05:00,588.01,588.01,587.61,587.61,3842.0
2025-01-10 04:04:00-05:00,587.66,587.66,587.63,587.64,2734.0
2025-01-10 04:05:00-05:00,587.5,587.5,587.43,587.43,902.0
2025-01-10 04:06:00-05:00,587.55,587.57,587.55,587.57,466.0
2025-01-10 04:07:00-05:00,587.57,587.67,587.57,587.67,1219.0
2025-01-10 04:08:00-05:00,587.6,587.67,587.6,587.61,796.0
2025-01-10 04:09:00-05:00,587.6,587.6,587.6,587.6,390.0
2025-01-10 04:10:00-05:00,587.5,587.5,587.4,587.42,783.0
2025-01-10 04:12:00-05:00,587.5,587.5,587.45,587.45,1065.0
2025-01-10 04:13:00-05:00,587.52,587.65,587.52,587.65,1010.0
2025-01-10 04:14:00-05:00,587.74,587.74,587.74,587.74,386.0
2025-01-10 04:15:00-05:00,587.78,587.84,587.78,587.84,335.0
2025-01-10 04:16:00-05:00,587.75,587.77,587.72,587.72,4166.0
2025-01-10 04:21:00-05:00,587.81,587.81,587.81,587.81,722.0
2025-01-10 04:22:00-05:00,587.79,587.79,587.79,587.79,473.0
2025-01-10 04:23:00-05:00,587.9,587.9,587.9,587.9,445.0
2025-01-10 04:25:00-05:00,587.86,587.86,587.86,587.86,260.0
2025-01-10 04:32:00-05:00,587.84,587.92,587.84,587.92,521.0
2025-01-10 04:38:00-05:00,587.9,587.9,587.9,587.9,203.0
2025-01-10 04:40:00-05:00,587.96,588.0,587.96,588.0,898.0
2025-01-10 04:41:00-05:00,588.04,588.04,588.04,588.04,233.0
2025-01-10 04:42:00-05:00,588.16,588.16,588.12,588.12,1449.0
2025-01-10 04:43:00-05:00,587.8,587.8,587.8,587.8,321.0
2025-01-10 04:45:00-05:00,587.42,587.42,587.37,587.4,1327.0
2025-01-10 04:46:00-05:00,587.71,587.71,587.71,587.71,337.0
2025-01-10 04:47:00-05:00,587.63,587.63,587.63,587.63,227.0
2025-01-10 04:48:00-05:00,587.41,587.41,587.41,587.41,203.0
2025-01-10 04:50:00-05:00,587.77,587.77,587.77,587.77,226.0
2025-01-10 04:52:00-05:00,587.8,587.8,587.8,587.8,505.0
2025-01-10 04:56:00-05:00,587.63,587.63,587.63,587.63,1053.0
2025-01-10 04:59:00-05:00,587.79,587.79,587.79,587.79,118.0
2025-01-10 05:00:00-05:00,587.78,587.78,587.78,587.78,293.0
2025-01-10 05:02:00-05:00,587.97,587.99,587.97,587.99,1055.0
2025-01-10 05:12:00-05:00,587.79,587.79,587.79,587.79,101.0
2025-01-10 05:13:00-05:00,587.76,587.83,587.76,587.83,1163.0
2025-01-10 05:20:00-05:00,587.87,587.87,587.87,587.87,156.0
2025-01-10 05:21:00-05:00,588.02,588.02,588.02,588.02,2542.0
2025-01-10 05:22:00-05:00,588.02,588.02,588.02,588.02,610.0
2025-01-10 05:23:00-05:00,588.02,588.02,588.02,588.02,146.0
2025-01-10 05:24:00-05:00,588.08,588.1,588.08,588.1,2070.0
2025-01-10 05:26:00-05:00,588.04,588.04,588.04,588.04,252.0
2025-01-10 05:30:00-05:00,588.13,588.13,588.12,588.12,2105.0
2025-01-10 05:33:00-05:00,588.16,588.16,588.07,588.07,10238.0
2025-01-10 05:36:00-05:00,588.22,588.22,588.22,588.22,221.0
2025-01-10 05:40:00-05:00,588.49,588.49,588.47,588.47,3329.0
2025-01-10 05:41:00-05:00,588.5,588.52,588.5,588.52,2345.0
2025-01-10 05:44:00-05:00,588.57,588.57,588.57,588.57,799.0
2025-01-10 05:46:00-05:00,588.5,588.5,588.5,588.5,330.0
2025-01-10 05:47:00-05:00,588.49,588.55,588.49,588.55,7573.0
2025-01-10 05:48:00-05:00,588.51,588.51,588.51,588.51,363.0
2025-01-10 05:52:00-05:00,588.63,588.64,588.62,588.64,401.0
2025-01-10 05:53:00-05:00,588.49,588.49,588.49,588.49,8053.0
2025-01-10 05:58:00-05:00,588.51,588.51,588.51,588.51,303.0
2025-01-10 06:00:00-05:00,588.43,588.45,588.43,588.45,958.0
2025-01-10 06:01:00-05:00,588.5,588.5,588.49,588.49,345.0
2025-01-10 06:02:00-05:00,588.51,588.54,588.51,588.54,1543.0
2025-01-10 06:04:00-05:00,588.55,588.55,588.55,588.55,166.0
2025-01-10 06:07:00-05:00,588.74,588.74,588.74,588.74,275.0
2025-01-10 06:09:00-05:00,588.98,589.01,588.98,589.01,970.0
2025-01-10 06:10:00-05:00,589.1,589.35,589.1,589.32,54513.0
2025-01-10 06:11:00-05:00,589.36,589.4,589.29,589.37,50570.0
2025-01-10 06:12:00-05:00,589.43,589.47,589.4,589.43,1443.0
2025-01-10 06:13:00-05:00,589.48,589.61,589.48,589.61,1345.0
2025-01-10 06:14:00-05:00,589.49,589.49,589.49,589.49,553.0
2025-01-10 06:15:00-05:00,589.47,589.47,589.32,589.32,1495.0
2025-01-10 06:16:00-05:00,589.32,589.32,589.32,589.32,236.0
2025-01-10 06:17:00-05:00,589.31,589.31,589.3,589.31,535.0
2025-01-10 06:20:00-05:00,589.31,589.31,589.31,589.31,177.0
2025-01-10 06:21:00-05:00,589.34,589.34,589.34,589.34,145.0
2025-01-10 06:22:00-05:00,589.18,589.26,589.18,589.26,769.0
2025-01-10 06:23:00-05:00,589.34,589.36,589.32,589.36,4191.0
2025-01-10 06:24:00-05:00,589.39,589.39,589.39,589.39,568.0
2025-01-10 06:26:00-05:00,589.11,589.18,589.1,589.1,2179.0
2025-01-10 06:28:00-05:00,589.14,589.14,589.14,589.14,304.0
2025-01-10 06:33:00-05:00,589.02,589.02,589.02,589.02,137.0
2025-01-10 06:34:00-05:00,588.99,588.99,588.99,588.99,217.0
2025-01-10 06:35:00-05:00,589.24,589.24,589.24,589.24,183.0
2025-01-10 06:39:00-05:00,589.27,589.27,589.27,589.27,248.0
2025-01-10 06:42:00-05:00,589.24,589.3,589.24,589.3,409.0
2025-01-10 06:43:00-05:00,589.1,589.1,589.1,589.1,259.0
2025-01-10 06:45:00-05:00,589.12,589.12,589.12,589.12,111.0
2025-01-10 06:48:00-05:00,589.01,589.01,588.84,588.92,1301.0
2025-01-10 06:49:00-05:00,588.87,588.96,588.87,588.94,5329.0
2025-01-10 06:50:00-05:00,589.1,589.1,589.1,589.1,384.0
2025-01-10 06:51:00-05:00,589.01,589.01,589.01,589.01,249.0
2025-01-10 06:54:00-05:00,588.83,588.86,588.77,588.77,945.0
2025-01-10 06:55:00-05:00,588.75,588.8,588.75,588.8,469.0
2025-01-10 06:56:00-05:00,588.89,588.89,588.88,588.88,450.0
2025-01-10 06:57:00-05:00,588.82,588.82,588.82,588.82,1103.0
2025-01-10 06:58:00-05:00,588.68,588.68,588.61,588.61,874.0
2025-01-10 06:59:00-05:00,588.61,588.61,588.61,588.61,566.0
2025-01-10 07:00:00-05:00,588.57,588.759,588.56,588.71,4579.0
2025-01-10 07:01:00-05:00,588.65,588.65,588.64,588.64,542.0
2025-01-10 07:02:00-05:00,588.57,588.59,588.5,588.5,902.0
2025-01-10 07:03:00-05:00,588.65,588.65,588.65,588.65,126.0
2025-01-10 07:04:00-05:00,588.57,588.57,588.49,588.49,1290.0
2025-01-10 07:05:00-05:00,588.49,588.49,587.97,587.97,10606.0
2025-01-10 07:06:00-05:00,587.89,587.98,587.85,587.98,2205.0
2025-01-10 07:07:00-05:00,587.93,587.93,587.88,587.88,1866.0
2025-01-10 07:08:00-05:00,587.95,587.95,587.95,587.95,667.0
2025-01-10 07:09:00-05:00,587.85,587.85,587.85,587.85,466.0
2025-01-10 07:10:00-05:00,587.99,588.0,587.99,588.0,396.0
2025-01-10 07:11:00-05:00,588.0,588.0,587.98,587.98,604.0
2025-01-10 07:12:00-05:00,587.66,587.7,587.48,587.48,2293.0
2025-01-10 07:13:00-05:00,587.74,587.75,587.66,587.66,1093.0
2025-01-10 07:15:00-05:00,587.99,588.05,587.99,588.05,726.0
2025-01-10 07:16:00-05:00,588.01,588.01,588.01,588.01,1074.0
2025-01-10 07:17:00-05:00,588.0,588.0,588.0,588.0,2085.0
2025-01-10 07:18:00-05:00,588.13,588.16,588.13,588.16,1958.0
2025-01-10 07:19:00-05:00,587.98,587.98,587.98,587.98,623.0
2025-01-10 07:20:00-05:00,587.94,588.04,587.94,588.04,2089.0
2025-01-10 07:21:00-05:00,588.09,588.15,588.06,588.1,1582.0
2025-01-10 07:22:00-05:00,587.98,588.01,587.97,587.97,2471.0
2025-01-10 07:23:00-05:00,588.02,588.11,588.02,588.11,486.0
2025-01-10 07:25:00-05:00,588.145,588.15,588.145,588.15,1285.0
2025-01-10 07:27:00-05:00,588.14,588.14,588.1,588.1,412.0
2025-01-10 07:28:00-05:00,588.03,588.03,588.03,588.03,600.0
2025-01-10 07:29:00-05:00,587.9,587.9,587.9,587.9,1043.0
2025-01-10 07:30:00-05:00,588.05,588.12,588.05,588.12,1695.0
2025-01-10 07:31:00-05:00,588.09,588.09,588.09,588.09,817.0
2025-01-10 07:32:00-05:00,588.1,588.25,588.08,588.25,9636.0
2025-01-10 07:33:00-05:00,588.31,588.34,588.25,588.34,3201.0
2025-01-10 07:34:00-05:00,588.46,588.46,588.46,588.46,121.0
2025-01-10 07:35:00-05:00,588.47,588.47,588.41,588.41,462.0
2025-01-10 07:37:00-05:00,588.59,588.6,588.59,588.6,282.0
2025-01-10 07:38:00-05:00,588.53,588.68,588.48,588.68,2782.0
2025-01-10 07:39:00-05:00,588.611,588.66,588.58,588.651,1642.0
2025-01-10 07:40:00-05:00,588.7,588.7,588.7,588.7,932.0
2025-01-10 07:41:00-05:00,588.68,588.68,588.67,588.68,1335.0
2025-01-10 07:42:00-05:00,588.745,588.77,588.74,588.77,2076.0
2025-01-10 07:43:00-05:00,588.76,588.76,588.59,588.59,3916.0
2025-01-10 07:44:00-05:00,588.59,588.59,588.5,588.5,2785.0
2025-01-10 07:45:00-05:00,588.43,588.44,588.07,588.19,4310.0
2025-01-10 07:46:00-05:00,588.12,588.26,588.12,588.26,1645.0
2025-01-10 07:48:00-05:00,588.38,588.4,588.38,588.4,4686.0
2025-01-10 07:49:00-05:00,588.4,588.4,588.39,588.4,17042.0
2025-01-10 07:50:00-05:00,588.68,588.73,588.68,588.73,816.0
2025-01-10 07:52:00-05:00,588.78,588.78,588.78,588.78,725.0
2025-01-10 07:53:00-05:00,588.74,588.74,588.6,588.6,14188.0
2025-01-10 07:54:00-05:00,588.67,588.67,588.67,588.67,765.0
2025-01-10 07:55:00-05:00,588.67,588.73,588.67,588.71,1687.0
2025-01-10 07:56:00-05:00,588.7,588.76,588.7,588.76,1655.0
2025-01-10 07:57:00-05:00,588.8,588.84,588.75,588.75,1723.0
2025-01-10 07:58:00-05:00,588.77,588.78,588.77,588.78,516.0
2025-01-10 07:59:00-05:00,588.73,588.82,588.73,588.82,2475.0
2025-01-10 08:00:00-05:00,588.8,589.3404,587.58,588.57,47793.0
2025-01-10 08:01:00-05:00,588.7,588.73,588.66,588.73,14132.0
2025-01-10 08:02:00-05:00,588.73,588.78,588.73,588.78,1180.0
2025-01-10 08:03:00-05:00,588.73,588.73,588.73,588.73,533.0
2025-01-10 08:04:00-05:00,588.74,588.74,588.68,588.68,729.0
2025-01-10 08:05:00-05:00,588.65,588.72,588.65,588.6818,1575.0
2025-01-10 08:06:00-05:00,588.73,588.83,588.73,588.83,1623.0
