datetime,open,high,low,close,volume
2025-02-04 04:00:00-05:00,596.78,596.78,595.81,596.33,5276.0
2025-02-04 04:01:00-05:00,596.21,596.24,596.2,596.21,20750.0
2025-02-04 04:02:00-05:00,596.39,596.57,596.38,596.57,11659.0
2025-02-04 04:03:00-05:00,596.46,596.52,596.44,596.52,3294.0
2025-02-04 04:04:00-05:00,596.52,596.52,596.44,596.44,4492.0
2025-02-04 04:05:00-05:00,596.44,596.54,596.44,596.45,1777.0
2025-02-04 04:06:00-05:00,596.4,596.4,596.4,596.4,313.0
2025-02-04 04:07:00-05:00,596.31,596.31,596.28,596.29,1842.0
2025-02-04 04:08:00-05:00,596.17,596.43,596.16,596.43,2127.0
2025-02-04 04:10:00-05:00,596.54,596.7,596.54,596.7,660.0
2025-02-04 04:11:00-05:00,596.78,596.79,596.7,596.7,1630.0
2025-02-04 04:12:00-05:00,596.7,596.88,596.7,596.7,3986.0
2025-02-04 04:13:00-05:00,596.54,596.54,596.54,596.54,322.0
2025-02-04 04:14:00-05:00,596.42,596.42,596.42,596.42,618.0
2025-02-04 04:15:00-05:00,596.62,596.62,596.36,596.36,1736.0
2025-02-04 04:16:00-05:00,596.35,596.37,596.35,596.37,521.0
2025-02-04 04:17:00-05:00,596.44,596.44,596.44,596.44,481.0
2025-02-04 04:19:00-05:00,596.62,596.62,596.62,596.62,383.0
2025-02-04 04:20:00-05:00,596.62,596.62,596.62,596.62,555.0
2025-02-04 04:21:00-05:00,596.44,596.44,596.44,596.44,461.0
2025-02-04 04:22:00-05:00,596.38,596.43,596.38,596.38,2121.0
2025-02-04 04:23:00-05:00,596.38,596.38,596.2,596.2,843.0
2025-02-04 04:26:00-05:00,596.52,596.52,596.52,596.52,343.0
2025-02-04 04:27:00-05:00,596.41,596.41,596.41,596.41,130.0
2025-02-04 04:29:00-05:00,596.56,596.56,596.56,596.56,353.0
2025-02-04 04:31:00-05:00,596.61,596.63,596.61,596.63,659.0
2025-02-04 04:32:00-05:00,596.48,596.48,596.4,596.4,844.0
2025-02-04 04:33:00-05:00,596.4,596.4,596.39,596.39,717.0
2025-02-04 04:36:00-05:00,596.42,596.42,596.42,596.42,844.0
2025-02-04 04:37:00-05:00,596.25,596.25,596.25,596.25,311.0
2025-02-04 04:38:00-05:00,596.45,596.45,596.45,596.45,517.0
2025-02-04 04:40:00-05:00,596.2,596.2,596.07,596.07,12582.0
2025-02-04 04:41:00-05:00,596.07,596.07,595.9,595.9,23079.0
2025-02-04 04:42:00-05:00,596.06,596.06,596.06,596.06,640.0
2025-02-04 04:43:00-05:00,596.15,596.15,596.05,596.05,758.0
2025-02-04 04:45:00-05:00,596.39,596.4,596.39,596.4,611.0
2025-02-04 04:46:00-05:00,596.49,596.49,596.49,596.49,227.0
2025-02-04 04:50:00-05:00,596.21,596.29,596.21,596.29,438.0
2025-02-04 04:51:00-05:00,596.31,596.31,596.31,596.31,123.0
2025-02-04 04:52:00-05:00,596.2,596.2,596.2,596.2,326.0
2025-02-04 04:53:00-05:00,596.35,596.38,596.35,596.38,993.0
2025-02-04 04:55:00-05:00,596.22,596.22,596.22,596.22,325.0
2025-02-04 04:56:00-05:00,596.2,596.2,596.2,596.2,340.0
2025-02-04 05:00:00-05:00,596.08,596.08,596.08,596.08,596.0
2025-02-04 05:03:00-05:00,596.11,596.11,596.02,596.04,1116.0
2025-02-04 05:09:00-05:00,596.15,596.15,596.15,596.15,214.0
2025-02-04 05:12:00-05:00,596.4,596.4,596.4,596.4,308.0
2025-02-04 05:13:00-05:00,596.57,596.57,596.57,596.57,294.0
2025-02-04 05:14:00-05:00,596.62,596.7,596.62,596.7,1092.0
2025-02-04 05:15:00-05:00,596.66,596.7,596.66,596.7,470.0
2025-02-04 05:16:00-05:00,596.64,596.64,596.64,596.64,201.0
2025-02-04 05:19:00-05:00,596.66,596.66,596.66,596.66,224.0
2025-02-04 05:20:00-05:00,596.65,596.65,596.65,596.65,126.0
2025-02-04 05:21:00-05:00,596.82,596.82,596.82,596.82,204.0
2025-02-04 05:22:00-05:00,596.88,597.0,596.88,596.94,1167.0
2025-02-04 05:25:00-05:00,596.65,596.65,596.64,596.64,476.0
2025-02-04 05:29:00-05:00,596.76,596.76,596.76,596.76,321.0
2025-02-04 05:31:00-05:00,596.74,596.74,596.74,596.74,192.0
2025-02-04 05:33:00-05:00,596.5,596.5,596.5,596.5,520.0
2025-02-04 05:34:00-05:00,596.45,596.45,596.45,596.45,1089.0
2025-02-04 05:37:00-05:00,596.75,596.86,596.75,596.86,1112.0
2025-02-04 05:40:00-05:00,596.5,596.5,596.5,596.5,421.0
2025-02-04 05:41:00-05:00,596.35,596.35,596.35,596.35,166.0
2025-02-04 05:45:00-05:00,596.72,596.72,596.72,596.72,567.0
2025-02-04 05:47:00-05:00,596.63,596.63,596.63,596.63,180.0
2025-02-04 05:52:00-05:00,596.7,596.7,596.63,596.64,3111.0
2025-02-04 05:53:00-05:00,596.63,596.63,596.63,596.63,2114.0
2025-02-04 05:57:00-05:00,596.71,596.72,596.71,596.72,2089.0
2025-02-04 05:58:00-05:00,596.71,596.71,596.71,596.71,458.0
2025-02-04 05:59:00-05:00,596.7,596.7,596.7,596.7,367.0
2025-02-04 06:00:00-05:00,596.7,596.7,596.7,596.7,706.0
2025-02-04 06:01:00-05:00,596.7,596.75,596.68,596.68,2266.0
2025-02-04 06:04:00-05:00,596.84,596.84,596.84,596.84,1237.0
2025-02-04 06:05:00-05:00,596.63,596.63,596.63,596.63,666.0
2025-02-04 06:07:00-05:00,596.99,597.04,596.92,597.04,498.0
2025-02-04 06:08:00-05:00,597.16,597.16,597.16,597.16,413.0
2025-02-04 06:09:00-05:00,597.3,597.3,597.3,597.3,323.0
2025-02-04 06:10:00-05:00,597.3,597.3,597.3,597.3,694.0
2025-02-04 06:12:00-05:00,597.01,597.01,597.01,597.01,281.0
2025-02-04 06:13:00-05:00,596.89,596.89,596.89,596.89,10049.0
2025-02-04 06:17:00-05:00,596.82,596.82,596.8,596.8,1011.0
2025-02-04 06:18:00-05:00,596.85,596.85,596.66,596.66,2338.0
2025-02-04 06:22:00-05:00,596.5,596.53,596.47,596.53,487.0
2025-02-04 06:23:00-05:00,596.36,596.54,596.36,596.54,5657.0
2025-02-04 06:24:00-05:00,596.73,596.73,596.72,596.72,704.0
2025-02-04 06:25:00-05:00,596.85,596.86,596.85,596.85,1132.0
2025-02-04 06:27:00-05:00,597.1,597.1,597.1,597.1,736.0
2025-02-04 06:29:00-05:00,597.11,597.11,597.11,597.11,213.0
2025-02-04 06:30:00-05:00,597.09,597.09,597.07,597.07,1789.0
2025-02-04 06:31:00-05:00,597.1,597.11,597.05,597.05,2783.0
2025-02-04 06:33:00-05:00,597.14,597.14,597.11,597.14,1051.0
2025-02-04 06:34:00-05:00,597.09,597.13,597.05,597.05,11723.0
2025-02-04 06:38:00-05:00,596.89,596.89,596.89,596.89,595.0
2025-02-04 06:39:00-05:00,596.86,596.86,596.86,596.86,406.0
2025-02-04 06:40:00-05:00,597.11,597.11,597.11,597.11,191.0
2025-02-04 06:41:00-05:00,597.05,597.05,597.01,597.01,1076.0
2025-02-04 06:42:00-05:00,597.0,597.0,597.0,597.0,421.0
2025-02-04 06:45:00-05:00,597.0,597.0,597.0,597.0,4013.0
2025-02-04 06:46:00-05:00,597.02,597.02,596.96,596.96,3405.0
2025-02-04 06:47:00-05:00,596.9,596.9,596.9,596.9,404.0
2025-02-04 06:50:00-05:00,597.12,597.12,597.1,597.1,409.0
2025-02-04 06:51:00-05:00,596.92,596.99,596.92,596.94,8021.0
2025-02-04 06:52:00-05:00,597.0,597.0,597.0,597.0,444.0
2025-02-04 06:53:00-05:00,596.94,596.94,596.94,596.94,337.0
2025-02-04 06:55:00-05:00,596.89,596.9,596.77,596.78,1564.0
2025-02-04 06:56:00-05:00,596.78,596.79,596.78,596.79,1651.0
2025-02-04 06:59:00-05:00,596.8,596.8,596.8,596.8,1355.0
2025-02-04 07:00:00-05:00,596.91,597.08,596.85,597.04,5872.0
2025-02-04 07:01:00-05:00,597.24,597.24,597.17,597.17,1098.0
2025-02-04 07:02:00-05:00,597.22,597.22,597.2,597.2,1227.0
2025-02-04 07:03:00-05:00,597.12,597.22,597.06,597.16,11622.0
2025-02-04 07:04:00-05:00,597.27,597.27,597.27,597.27,1030.0
2025-02-04 07:05:00-05:00,597.29,597.29,597.29,597.29,538.0
2025-02-04 07:06:00-05:00,597.32,597.32,597.32,597.32,408.0
2025-02-04 07:07:00-05:00,597.27,597.3,597.25,597.25,6743.0
2025-02-04 07:08:00-05:00,597.25,597.25,597.2,597.23,1521.0
2025-02-04 07:09:00-05:00,597.32,597.4,597.32,597.4,2512.0
2025-02-04 07:10:00-05:00,597.47,597.64,597.47,597.64,2491.0
2025-02-04 07:11:00-05:00,597.68,597.68,597.68,597.68,815.0
2025-02-04 07:12:00-05:00,597.67,597.7,597.64,597.7,3751.0
2025-02-04 07:13:00-05:00,597.65,597.68,597.65,597.67,1036.0
2025-02-04 07:14:00-05:00,597.58,597.6,597.42,597.42,969.0
2025-02-04 07:15:00-05:00,597.41,597.46,597.41,597.45,5427.0
2025-02-04 07:16:00-05:00,597.45,597.5,597.45,597.5,4564.0
2025-02-04 07:17:00-05:00,597.54,597.54,597.54,597.54,311.0
2025-02-04 07:18:00-05:00,597.58,597.67,597.58,597.67,5219.0
2025-02-04 07:19:00-05:00,597.63,597.63,597.58,597.6,4479.0
2025-02-04 07:21:00-05:00,597.55,597.55,597.52,597.52,731.0
2025-02-04 07:23:00-05:00,597.5,597.5,597.36,597.36,1058.0
2025-02-04 07:24:00-05:00,597.45,597.45,597.45,597.45,679.0
2025-02-04 07:25:00-05:00,597.53,597.53,597.46,597.46,1492.0
