datetime,open,high,low,close,volume
2024-06-27 04:00:00-04:00,544.7,544.7,544.7,544.7,1620.0
2024-06-27 04:01:00-04:00,544.7,544.78,544.66,544.78,1458.0
2024-06-27 04:02:00-04:00,544.68,544.8,544.68,544.8,801.0
2024-06-27 04:04:00-04:00,544.78,544.81,544.78,544.81,1277.0
2024-06-27 04:05:00-04:00,544.77,544.83,544.77,544.83,2201.0
2024-06-27 04:06:00-04:00,544.82,544.84,544.82,544.84,604.0
2024-06-27 04:09:00-04:00,544.73,544.73,544.73,544.73,404.0
2024-06-27 04:10:00-04:00,544.66,544.66,544.66,544.66,412.0
2024-06-27 04:11:00-04:00,544.67,544.67,544.67,544.67,517.0
2024-06-27 04:13:00-04:00,544.73,544.73,544.73,544.73,404.0
2024-06-27 04:18:00-04:00,544.68,544.68,544.66,544.68,1440.0
2024-06-27 04:22:00-04:00,544.61,544.61,544.57,544.57,1406.0
2024-06-27 04:23:00-04:00,544.57,544.57,544.51,544.51,345.0
2024-06-27 04:25:00-04:00,544.41,544.46,544.41,544.46,353.0
2024-06-27 04:26:00-04:00,544.41,544.41,544.41,544.41,466.0
2024-06-27 04:28:00-04:00,544.41,544.41,544.41,544.41,211.0
2024-06-27 04:30:00-04:00,544.43,544.43,544.43,544.43,207.0
2024-06-27 04:31:00-04:00,544.5,544.53,544.5,544.53,410.0
2024-06-27 04:34:00-04:00,544.6,544.6,544.58,544.58,975.0
2024-06-27 04:35:00-04:00,544.58,544.58,544.58,544.58,100.0
2024-06-27 04:36:00-04:00,544.62,544.65,544.62,544.65,303.0
2024-06-27 04:37:00-04:00,544.65,544.65,544.65,544.65,154.0
2024-06-27 04:38:00-04:00,544.7,544.7,544.7,544.7,505.0
2024-06-27 04:48:00-04:00,544.69,544.71,544.69,544.71,1298.0
2024-06-27 04:50:00-04:00,544.67,544.67,544.67,544.67,209.0
2024-06-27 04:51:00-04:00,544.58,544.58,544.53,544.53,567.0
2024-06-27 04:56:00-04:00,544.72,544.72,544.72,544.72,261.0
2024-06-27 05:03:00-04:00,544.68,544.73,544.68,544.73,300.0
2024-06-27 05:05:00-04:00,544.67,544.67,544.67,544.67,124.0
2024-06-27 05:07:00-04:00,544.61,544.62,544.61,544.62,291.0
2024-06-27 05:08:00-04:00,544.6,544.6,544.6,544.6,150.0
2024-06-27 05:10:00-04:00,544.69,544.69,544.69,544.69,133.0
2024-06-27 05:13:00-04:00,544.8,544.8,544.8,544.8,1161.0
2024-06-27 05:14:00-04:00,544.9,544.9,544.9,544.9,329.0
2024-06-27 05:15:00-04:00,544.84,544.84,544.84,544.84,558.0
2024-06-27 05:16:00-04:00,544.99,545.0,544.99,544.99,1039.0
2024-06-27 05:17:00-04:00,545.01,545.01,545.01,545.01,256.0
