datetime,open,high,low,close,volume
2025-06-09 04:00:00-04:00,599.45,599.57,599.44,599.46,4824.0
2025-06-09 04:01:00-04:00,599.44,599.53,599.44,599.52,4931.0
2025-06-09 04:02:00-04:00,599.58,599.58,599.52,599.54,3065.0
2025-06-09 04:04:00-04:00,599.7,599.71,599.66,599.66,1264.0
2025-06-09 04:05:00-04:00,599.67,599.69,599.62,599.66,20652.0
2025-06-09 04:06:00-04:00,599.68,599.78,599.65,599.78,13890.0
2025-06-09 04:07:00-04:00,599.75,599.8,599.75,599.78,11692.0
2025-06-09 04:08:00-04:00,599.72,599.75,599.68,599.75,1323.0
2025-06-09 04:09:00-04:00,599.67,599.67,599.66,599.66,3421.0
2025-06-09 04:12:00-04:00,599.82,599.82,599.8,599.8,1597.0
2025-06-09 04:13:00-04:00,599.71,599.71,599.6,599.6,8158.0
2025-06-09 04:14:00-04:00,599.64,599.64,599.6,599.6,1532.0
2025-06-09 04:15:00-04:00,599.6,599.6,599.6,599.6,3154.0
2025-06-09 04:16:00-04:00,599.78,599.79,599.78,599.79,1483.0
2025-06-09 04:19:00-04:00,599.69,599.69,599.69,599.69,289.0
2025-06-09 04:20:00-04:00,599.68,599.69,599.59,599.59,3912.0
2025-06-09 04:21:00-04:00,599.57,599.59,599.56,599.56,1192.0
2025-06-09 04:22:00-04:00,599.63,599.68,599.62,599.68,9396.0
2025-06-09 04:23:00-04:00,599.65,599.66,599.63,599.63,1183.0
2025-06-09 04:24:00-04:00,599.62,599.62,599.51,599.54,3263.0
2025-06-09 04:25:00-04:00,599.51,599.51,599.42,599.42,1591.0
2025-06-09 04:28:00-04:00,599.37,599.37,599.31,599.31,863.0
2025-06-09 04:30:00-04:00,599.18,599.18,599.18,599.18,755.0
2025-06-09 04:31:00-04:00,599.18,599.19,599.18,599.19,865.0
2025-06-09 04:32:00-04:00,599.15,599.15,599.1,599.1,885.0
2025-06-09 04:36:00-04:00,599.22,599.22,599.22,599.22,477.0
2025-06-09 04:38:00-04:00,599.21,599.21,599.21,599.21,536.0
2025-06-09 04:44:00-04:00,599.26,599.26,599.16,599.16,1516.0
2025-06-09 04:45:00-04:00,599.18,599.24,599.18,599.23,1166.0
2025-06-09 04:46:00-04:00,599.25,599.25,599.25,599.25,585.0
2025-06-09 04:47:00-04:00,599.38,599.38,599.38,599.38,385.0
2025-06-09 04:49:00-04:00,599.55,599.55,599.54,599.55,845.0
2025-06-09 04:50:00-04:00,599.65,599.7,599.65,599.7,1473.0
2025-06-09 04:52:00-04:00,599.75,599.78,599.75,599.78,1402.0
2025-06-09 04:53:00-04:00,599.81,599.83,599.81,599.83,762.0
2025-06-09 04:54:00-04:00,599.87,599.99,599.87,599.95,1717.0
2025-06-09 04:55:00-04:00,599.96,600.0,599.96,599.99,1926.0
2025-06-09 04:56:00-04:00,599.99,599.99,599.9,599.9,1247.0
2025-06-09 04:58:00-04:00,599.94,599.94,599.88,599.88,592.0
2025-06-09 05:00:00-04:00,599.94,599.95,599.93,599.95,1101.0
2025-06-09 05:01:00-04:00,599.9,599.9,599.9,599.9,259.0
2025-06-09 05:02:00-04:00,599.88,599.88,599.88,599.88,512.0
2025-06-09 05:03:00-04:00,599.9,599.9,599.89,599.89,449.0
2025-06-09 05:04:00-04:00,599.86,599.86,599.83,599.83,488.0
2025-06-09 05:05:00-04:00,599.79,599.8,599.75,599.8,1184.0
2025-06-09 05:06:00-04:00,599.82,599.82,599.82,599.82,392.0
2025-06-09 05:08:00-04:00,599.67,599.67,599.67,599.67,345.0
2025-06-09 05:09:00-04:00,599.65,599.65,599.55,599.62,972.0
2025-06-09 05:10:00-04:00,599.61,599.61,599.61,599.61,524.0
2025-06-09 05:11:00-04:00,599.64,599.64,599.64,599.64,191.0
2025-06-09 05:12:00-04:00,599.69,599.69,599.69,599.69,246.0
2025-06-09 05:14:00-04:00,599.72,599.72,599.72,599.72,546.0
2025-06-09 05:15:00-04:00,599.75,599.75,599.69,599.69,246.0
2025-06-09 05:16:00-04:00,599.69,599.69,599.69,599.69,4682.0
2025-06-09 05:22:00-04:00,599.5,599.5,599.5,599.5,1515.0
2025-06-09 05:27:00-04:00,599.65,599.65,599.65,599.65,1305.0
2025-06-09 05:28:00-04:00,599.55,599.7,599.55,599.7,1555.0
2025-06-09 05:29:00-04:00,599.84,599.84,599.84,599.84,443.0
2025-06-09 05:32:00-04:00,599.82,599.84,599.82,599.84,409.0
2025-06-09 05:33:00-04:00,599.85,599.86,599.85,599.86,869.0
2025-06-09 05:34:00-04:00,599.88,599.89,599.88,599.88,1328.0
2025-06-09 05:35:00-04:00,599.87,599.87,599.78,599.78,1409.0
2025-06-09 05:36:00-04:00,599.84,599.84,599.84,599.84,619.0
2025-06-09 05:39:00-04:00,599.74,599.74,599.74,599.74,473.0
2025-06-09 05:40:00-04:00,599.85,599.86,599.85,599.86,301.0
2025-06-09 05:45:00-04:00,599.75,599.76,599.75,599.76,245.0
2025-06-09 05:46:00-04:00,599.78,599.78,599.78,599.78,257.0
2025-06-09 05:51:00-04:00,599.73,599.73,599.73,599.73,192.0
2025-06-09 05:52:00-04:00,599.69,599.69,599.69,599.69,301.0
2025-06-09 05:56:00-04:00,599.59,599.62,599.59,599.62,326.0
2025-06-09 05:57:00-04:00,599.55,599.55,599.55,599.55,274.0
2025-06-09 06:00:00-04:00,599.48,599.48,599.48,599.48,1367.0
2025-06-09 06:03:00-04:00,599.54,599.54,599.54,599.54,1013.0
2025-06-09 06:04:00-04:00,599.49,599.62,599.49,599.62,326.0
2025-06-09 06:11:00-04:00,599.58,599.58,599.58,599.58,407.0
2025-06-09 06:17:00-04:00,599.63,599.63,599.63,599.63,357.0
2025-06-09 06:21:00-04:00,599.56,599.56,599.56,599.56,172.0
2025-06-09 06:23:00-04:00,599.59,599.63,599.59,599.63,1127.0
2025-06-09 06:25:00-04:00,599.45,599.45,599.4,599.42,1058.0
2025-06-09 06:26:00-04:00,599.37,599.38,599.37,599.38,559.0
2025-06-09 06:27:00-04:00,599.31,599.33,599.31,599.32,1012.0
2025-06-09 06:28:00-04:00,599.33,599.38,599.32,599.38,1166.0
2025-06-09 06:29:00-04:00,599.36,599.36,599.36,599.36,571.0
2025-06-09 06:32:00-04:00,599.4,599.57,599.4,599.53,2866.0
2025-06-09 06:35:00-04:00,599.51,599.51,599.51,599.51,229.0
2025-06-09 06:37:00-04:00,599.53,599.53,599.53,599.53,860.0
2025-06-09 06:38:00-04:00,599.54,599.54,599.52,599.52,848.0
2025-06-09 06:40:00-04:00,599.5,599.51,599.5,599.51,927.0
2025-06-09 06:41:00-04:00,599.52,599.52,599.52,599.52,557.0
2025-06-09 06:43:00-04:00,599.46,599.46,599.45,599.45,466.0
2025-06-09 06:44:00-04:00,599.33,599.33,599.33,599.33,826.0
2025-06-09 06:46:00-04:00,599.33,599.33,599.29,599.29,637.0
2025-06-09 06:49:00-04:00,599.36,599.36,599.36,599.36,592.0
2025-06-09 06:51:00-04:00,599.31,599.31,599.31,599.31,169.0
2025-06-09 06:53:00-04:00,599.35,599.35,599.33,599.34,958.0
2025-06-09 06:54:00-04:00,599.2,599.2,599.2,599.2,909.0
2025-06-09 06:55:00-04:00,599.21,599.21,599.17,599.17,1804.0
2025-06-09 06:56:00-04:00,599.14,599.14,599.12,599.13,3013.0
2025-06-09 06:57:00-04:00,599.27,599.27,599.27,599.27,606.0
2025-06-09 06:59:00-04:00,599.33,599.33,599.33,599.33,100.0
2025-06-09 07:00:00-04:00,599.35,599.48,599.32,599.37,3750.0
2025-06-09 07:01:00-04:00,599.38,599.42,599.38,599.42,634.0
2025-06-09 07:02:00-04:00,599.57,599.57,599.57,599.57,378.0
2025-06-09 07:03:00-04:00,599.6,599.65,599.59,599.63,1209.0
2025-06-09 07:04:00-04:00,599.62,599.63,599.6,599.63,3431.0
2025-06-09 07:05:00-04:00,599.64,599.64,599.64,599.64,985.0
2025-06-09 07:06:00-04:00,599.6,599.66,599.59,599.66,2909.0
2025-06-09 07:07:00-04:00,599.69,599.72,599.67,599.67,1372.0
2025-06-09 07:08:00-04:00,599.7,599.81,599.7,599.8,2967.0
2025-06-09 07:09:00-04:00,599.76,599.83,599.749,599.75,6196.0
2025-06-09 07:10:00-04:00,599.72,599.74,599.71,599.71,1916.0
2025-06-09 07:11:00-04:00,599.64,599.64,599.56,599.56,2070.0
2025-06-09 07:13:00-04:00,599.47,599.48,599.47,599.48,1258.0
2025-06-09 07:14:00-04:00,599.53,599.589,599.53,599.589,1542.0
2025-06-09 07:15:00-04:00,599.65,599.65,599.65,599.65,380.0
2025-06-09 07:16:00-04:00,599.64,599.84,599.64,599.84,7113.0
2025-06-09 07:17:00-04:00,599.79,599.82,599.62,599.62,10673.0
2025-06-09 07:19:00-04:00,599.71,599.73,599.67,599.73,3218.0
2025-06-09 07:21:00-04:00,599.79,599.92,599.79,599.92,3613.0
2025-06-09 07:22:00-04:00,599.91,599.99,599.91,599.98,12055.0
2025-06-09 07:23:00-04:00,599.98,599.99,599.94,599.99,2583.0
2025-06-09 07:24:00-04:00,599.97,599.98,599.86,599.86,3496.0
2025-06-09 07:25:00-04:00,599.8,599.8,599.71,599.74,11736.0
2025-06-09 07:26:00-04:00,599.72,599.73,599.68,599.73,17263.0
2025-06-09 07:27:00-04:00,599.76,599.83,599.76,599.83,812.0
2025-06-09 07:29:00-04:00,599.81,599.81,599.69,599.69,1452.0
2025-06-09 07:31:00-04:00,599.81,599.81,599.75,599.75,603.0
2025-06-09 07:32:00-04:00,599.79,599.84,599.79,599.84,2735.0
2025-06-09 07:33:00-04:00,599.86,600.11,599.86,600.0,10343.0
2025-06-09 07:34:00-04:00,600.1,600.1,600.09,600.1,6330.0
2025-06-09 07:35:00-04:00,600.11,600.19,600.1,600.19,2320.0
2025-06-09 07:36:00-04:00,600.19,600.22,600.15,600.22,9005.0
2025-06-09 07:37:00-04:00,600.22,600.35,600.21,600.35,3006.0
2025-06-09 07:38:00-04:00,600.32,600.33,600.02,600.16,22619.0
2025-06-09 07:39:00-04:00,600.25,600.29,600.21,600.29,4955.0
2025-06-09 07:40:00-04:00,600.35,600.35,600.34,600.34,404.0
2025-06-09 07:41:00-04:00,600.33,600.36,600.33,600.349,4467.0
2025-06-09 07:42:00-04:00,600.35,600.37,600.35,600.36,2369.0
2025-06-09 07:43:00-04:00,600.29,600.299,600.18,600.18,3718.0
2025-06-09 07:44:00-04:00,600.09,600.1,600.09,600.1,466.0
2025-06-09 07:45:00-04:00,600.08,600.08,600.04,600.04,2103.0
2025-06-09 07:46:00-04:00,600.01,600.04,600.01,600.04,778.0
2025-06-09 07:47:00-04:00,600.14,600.14,599.99,600.03,1492.0
2025-06-09 07:48:00-04:00,600.03,600.03,600.0,600.0,1258.0
2025-06-09 07:49:00-04:00,599.95,600.08,599.95,600.03,2935.0
2025-06-09 07:50:00-04:00,600.09,600.15,600.09,600.15,7600.0
2025-06-09 07:51:00-04:00,600.15,600.15,600.09,600.15,28010.0
2025-06-09 07:52:00-04:00,600.15,600.15,600.14,600.14,2520.0
2025-06-09 07:53:00-04:00,600.03,600.03,600.03,600.03,699.0
2025-06-09 07:54:00-04:00,600.06,600.079,600.06,600.079,2788.0
2025-06-09 07:55:00-04:00,600.11,600.14,600.11,600.14,882.0
2025-06-09 07:56:00-04:00,600.16,600.17,600.109,600.14,2602.0
2025-06-09 07:57:00-04:00,600.16,600.2,600.16,600.2,1384.0
2025-06-09 07:58:00-04:00,600.25,600.3,600.19,600.19,7383.0
2025-06-09 07:59:00-04:00,600.189,600.2,600.15,600.15,2606.0
2025-06-09 08:00:00-04:00,599.58,600.37,598.23,598.23,37664.0
2025-06-09 08:01:00-04:00,598.27,600.24,598.1,600.2,14039.0
2025-06-09 08:02:00-04:00,600.1804,600.22,600.07,600.07,3066.0
2025-06-09 08:03:00-04:00,600.09,600.11,600.09,600.11,1485.0
2025-06-09 08:04:00-04:00,600.03,600.0596,600.01,600.0596,3828.0
2025-06-09 08:05:00-04:00,600.0,600.06,600.0,600.06,1491.0
2025-06-09 08:06:00-04:00,600.08,600.09,600.06,600.06,1937.0
2025-06-09 08:07:00-04:00,600.02,600.04,599.97,599.99,1709.0
2025-06-09 08:08:00-04:00,599.96,599.97,599.81,599.81,11660.0
2025-06-09 08:09:00-04:00,599.88,599.89,599.88,599.89,1130.0
2025-06-09 08:10:00-04:00,599.91,600.0,599.91,600.0,989.0
2025-06-09 08:11:00-04:00,600.05,600.05,599.96,599.96,2153.0
2025-06-09 08:12:00-04:00,599.97,599.97,599.97,599.97,651.0
2025-06-09 08:13:00-04:00,599.95,599.95,599.8,599.82,2251.0
2025-06-09 08:14:00-04:00,599.8,599.81,599.7,599.77,14956.0
2025-06-09 08:15:00-04:00,599.79,599.84,599.78,599.79,1624.0
2025-06-09 08:16:00-04:00,599.65,599.68,599.65,599.68,2451.0
2025-06-09 08:17:00-04:00,599.81,599.84,599.81,599.84,774.0
2025-06-09 08:18:00-04:00,599.86,599.93,599.86,599.93,1960.0
2025-06-09 08:20:00-04:00,600.03,600.04,600.0,600.04,1030.0
2025-06-09 08:21:00-04:00,600.03,600.1293,600.03,600.1,3446.0
2025-06-09 08:22:00-04:00,600.09,600.16,600.09,600.16,770.0
2025-06-09 08:23:00-04:00,600.16,600.16,600.13,600.15,1377.0
2025-06-09 08:24:00-04:00,600.18,600.2,600.12,600.12,3136.0
2025-06-09 08:25:00-04:00,600.12,600.2,600.12,600.18,4706.0
2025-06-09 08:26:00-04:00,600.19,600.19,600.16,600.18,2164.0
2025-06-09 08:27:00-04:00,600.13,600.18,600.1,600.15,3730.0
2025-06-09 08:28:00-04:00,600.18,600.19,600.11,600.15,9030.0
2025-06-09 08:29:00-04:00,600.12,600.14,600.07,600.09,22337.0
2025-06-09 08:30:00-04:00,600.08,600.17,600.08,600.17,13819.0
2025-06-09 08:31:00-04:00,600.16,600.19,600.04,600.11,11269.0
2025-06-09 08:32:00-04:00,600.14,600.17,600.08,600.17,4638.0
2025-06-09 08:33:00-04:00,600.13,600.14,600.11,600.1201,5329.0
2025-06-09 08:34:00-04:00,600.1,600.1,600.05,600.06,8133.0
2025-06-09 08:35:00-04:00,600.01,600.1,600.0,600.1,4643.0
2025-06-09 08:36:00-04:00,600.11,600.12,600.03,600.11,6374.0
2025-06-09 08:37:00-04:00,600.08,600.18,600.08,600.15,4253.0
2025-06-09 08:38:00-04:00,600.12,600.16,600.11,600.13,7281.0
2025-06-09 08:39:00-04:00,600.11,600.11,600.06,600.06,8417.0
2025-06-09 08:40:00-04:00,600.12,600.12,600.0808,600.1107,841.0
2025-06-09 08:41:00-04:00,600.06,600.14,600.04,600.11,4751.0
2025-06-09 08:42:00-04:00,600.03,600.06,599.96,600.05,4697.0
2025-06-09 08:43:00-04:00,600.14,600.21,600.14,600.16,3174.0
2025-06-09 08:44:00-04:00,600.18,600.19,600.13,600.17,4796.0
2025-06-09 08:45:00-04:00,600.16,600.21,600.11,600.11,6601.0
2025-06-09 08:46:00-04:00,600.13,600.19,600.13,600.17,1074.0
2025-06-09 08:47:00-04:00,600.17,600.21,600.1598,600.1598,6680.0
2025-06-09 08:48:00-04:00,600.16,600.16,600.0899,600.0899,2046.0
