datetime,open,high,low,close,volume
2025-01-23 04:00:00-05:00,604.85,605.09,604.85,605.02,2122.0
2025-01-23 04:02:00-05:00,604.92,604.92,604.92,604.92,181.0
2025-01-23 04:03:00-05:00,604.9,604.9,604.83,604.83,639.0
2025-01-23 04:04:00-05:00,604.88,604.94,604.88,604.93,809.0
2025-01-23 04:05:00-05:00,604.95,604.95,604.95,604.95,354.0
2025-01-23 04:07:00-05:00,605.02,605.02,605.02,605.02,489.0
2025-01-23 04:08:00-05:00,605.08,605.08,605.08,605.08,732.0
2025-01-23 04:09:00-05:00,605.06,605.06,605.06,605.06,386.0
2025-01-23 04:10:00-05:00,604.88,604.93,604.88,604.93,498.0
2025-01-23 04:12:00-05:00,604.78,604.78,604.71,604.71,524.0
2025-01-23 04:14:00-05:00,604.69,604.69,604.69,604.69,325.0
2025-01-23 04:16:00-05:00,604.67,604.67,604.67,604.67,915.0
2025-01-23 04:17:00-05:00,604.67,604.67,604.67,604.67,945.0
2025-01-23 04:20:00-05:00,604.72,604.72,604.68,604.68,556.0
2025-01-23 04:21:00-05:00,604.68,604.7,604.68,604.7,637.0
2025-01-23 04:22:00-05:00,604.8,604.8,604.8,604.8,860.0
2025-01-23 04:23:00-05:00,604.91,604.91,604.91,604.91,252.0
2025-01-23 04:25:00-05:00,604.86,604.86,604.86,604.86,417.0
2025-01-23 04:29:00-05:00,604.81,604.81,604.81,604.81,750.0
2025-01-23 04:30:00-05:00,604.76,604.76,604.76,604.76,285.0
2025-01-23 04:31:00-05:00,604.77,604.77,604.77,604.77,319.0
2025-01-23 04:32:00-05:00,604.97,604.99,604.95,604.95,857.0
2025-01-23 04:35:00-05:00,604.92,604.99,604.92,604.99,1689.0
2025-01-23 04:36:00-05:00,605.04,605.04,605.04,605.04,484.0
2025-01-23 04:37:00-05:00,605.07,605.07,605.07,605.07,285.0
2025-01-23 04:42:00-05:00,605.11,605.11,605.11,605.11,335.0
2025-01-23 04:43:00-05:00,605.09,605.09,605.05,605.05,360.0
2025-01-23 04:47:00-05:00,605.25,605.25,605.25,605.25,203.0
2025-01-23 04:48:00-05:00,605.28,605.28,605.28,605.28,179.0
2025-01-23 04:50:00-05:00,605.18,605.18,605.18,605.18,297.0
2025-01-23 04:51:00-05:00,605.32,605.39,605.32,605.39,445.0
2025-01-23 04:54:00-05:00,605.34,605.34,605.34,605.34,333.0
2025-01-23 04:55:00-05:00,605.28,605.28,605.28,605.28,719.0
2025-01-23 04:56:00-05:00,605.23,605.28,605.23,605.28,258.0
2025-01-23 04:58:00-05:00,605.27,605.27,605.27,605.27,807.0
2025-01-23 04:59:00-05:00,605.29,605.29,605.29,605.29,195.0
2025-01-23 05:01:00-05:00,605.29,605.29,605.28,605.28,454.0
2025-01-23 05:02:00-05:00,605.28,605.31,605.28,605.31,415.0
2025-01-23 05:05:00-05:00,605.22,605.22,605.17,605.17,820.0
2025-01-23 05:06:00-05:00,605.15,605.15,605.15,605.15,472.0
2025-01-23 05:07:00-05:00,605.29,605.29,605.29,605.29,157.0
2025-01-23 05:09:00-05:00,605.28,605.28,605.28,605.28,5001.0
2025-01-23 05:10:00-05:00,605.39,605.39,605.28,605.28,766.0
2025-01-23 05:12:00-05:00,605.38,605.38,605.38,605.38,129.0
2025-01-23 05:13:00-05:00,605.37,605.37,605.32,605.32,657.0
2025-01-23 05:16:00-05:00,605.53,605.63,605.53,605.63,1050.0
2025-01-23 05:17:00-05:00,605.66,605.66,605.66,605.66,609.0
2025-01-23 05:18:00-05:00,605.56,605.56,605.56,605.56,245.0
2025-01-23 05:19:00-05:00,605.46,605.46,605.46,605.46,446.0
2025-01-23 05:22:00-05:00,605.35,605.35,605.35,605.35,1036.0
2025-01-23 05:23:00-05:00,605.24,605.25,605.24,605.25,2177.0
2025-01-23 05:24:00-05:00,605.31,605.31,605.31,605.31,250.0
2025-01-23 05:26:00-05:00,605.37,605.4,605.34,605.4,3312.0
