datetime,open,high,low,close,volume
2024-07-05 04:00:00-04:00,551.95,551.98,551.89,551.92,8546.0
2024-07-05 04:01:00-04:00,551.92,552.04,551.92,552.04,2331.0
2024-07-05 04:02:00-04:00,551.95,551.95,551.95,551.95,201.0
2024-07-05 04:03:00-04:00,551.94,551.94,551.94,551.94,280.0
2024-07-05 04:04:00-04:00,551.95,551.96,551.92,551.92,488.0
2024-07-05 04:05:00-04:00,551.97,551.97,551.93,551.93,502.0
2024-07-05 04:06:00-04:00,551.97,551.99,551.91,551.91,1283.0
2024-07-05 04:07:00-04:00,551.94,552.06,551.94,552.06,857.0
2024-07-05 04:08:00-04:00,552.05,552.05,552.02,552.02,351.0
2024-07-05 04:09:00-04:00,551.99,551.99,551.99,551.99,220.0
2024-07-05 04:12:00-04:00,552.14,552.14,552.14,552.14,201.0
2024-07-05 04:13:00-04:00,552.07,552.16,552.07,552.16,300.0
2024-07-05 04:14:00-04:00,552.11,552.13,552.11,552.13,256.0
2024-07-05 04:17:00-04:00,551.98,551.98,551.98,551.98,158.0
2024-07-05 04:19:00-04:00,552.03,552.03,552.03,552.03,151.0
2024-07-05 04:20:00-04:00,552.01,552.01,552.0,552.01,602.0
2024-07-05 04:21:00-04:00,551.97,551.97,551.92,551.92,453.0
2024-07-05 04:23:00-04:00,551.92,551.94,551.92,551.94,1000.0
2024-07-05 04:41:00-04:00,551.7,551.7,551.7,551.7,1023.0
2024-07-05 04:42:00-04:00,551.7,551.74,551.7,551.74,1204.0
2024-07-05 04:43:00-04:00,551.7,551.7,551.7,551.7,318.0
2024-07-05 04:47:00-04:00,551.75,551.75,551.75,551.75,265.0
2024-07-05 05:00:00-04:00,551.68,551.69,551.68,551.69,364.0
2024-07-05 05:16:00-04:00,551.63,551.63,551.63,551.63,120.0
2024-07-05 05:17:00-04:00,551.66,551.66,551.66,551.66,126.0
2024-07-05 05:18:00-04:00,551.68,551.68,551.68,551.68,119.0
2024-07-05 05:21:00-04:00,551.83,551.83,551.83,551.83,609.0
2024-07-05 05:26:00-04:00,551.83,551.83,551.83,551.83,215.0
2024-07-05 05:32:00-04:00,551.76,551.76,551.76,551.76,117.0
2024-07-05 05:37:00-04:00,551.87,551.87,551.87,551.87,113.0
2024-07-05 05:54:00-04:00,551.83,551.83,551.83,551.83,144.0
2024-07-05 06:12:00-04:00,551.74,551.75,551.74,551.74,2034.0
2024-07-05 06:16:00-04:00,551.74,551.74,551.74,551.74,805.0
2024-07-05 06:17:00-04:00,551.7,551.7,551.68,551.68,603.0
2024-07-05 06:19:00-04:00,551.68,551.68,551.68,551.68,218.0
2024-07-05 06:20:00-04:00,551.71,551.71,551.71,551.71,100.0
2024-07-05 06:25:00-04:00,551.73,551.73,551.73,551.73,123.0
2024-07-05 06:27:00-04:00,551.76,551.76,551.76,551.76,200.0
2024-07-05 06:29:00-04:00,551.74,551.74,551.74,551.74,100.0
2024-07-05 06:35:00-04:00,551.73,551.73,551.73,551.73,212.0
2024-07-05 06:39:00-04:00,551.77,551.77,551.77,551.77,1516.0
2024-07-05 06:43:00-04:00,551.8,551.8,551.8,551.8,908.0
2024-07-05 06:44:00-04:00,551.76,551.76,551.76,551.76,139.0
2024-07-05 06:46:00-04:00,551.76,551.76,551.76,551.76,103.0
2024-07-05 06:47:00-04:00,551.71,551.71,551.71,551.71,270.0
2024-07-05 06:48:00-04:00,551.67,551.67,551.67,551.67,110.0
2024-07-05 06:55:00-04:00,551.7,551.71,551.7,551.71,2084.0
2024-07-05 07:00:00-04:00,551.62,551.64,551.6,551.6,754.0
2024-07-05 07:01:00-04:00,551.6,551.66,551.6,551.66,493.0
2024-07-05 07:02:00-04:00,551.68,551.68,551.68,551.68,443.0
2024-07-05 07:03:00-04:00,551.68,551.68,551.68,551.68,1071.0
2024-07-05 07:05:00-04:00,551.71,551.71,551.71,551.71,370.0
2024-07-05 07:06:00-04:00,551.71,551.71,551.71,551.71,378.0
2024-07-05 07:07:00-04:00,551.7,551.71,551.68,551.68,423.0
2024-07-05 07:08:00-04:00,551.69,551.69,551.66,551.66,969.0
2024-07-05 07:10:00-04:00,551.71,551.71,551.69,551.69,313.0
2024-07-05 07:11:00-04:00,551.7,551.7,551.56,551.56,2837.0
2024-07-05 07:12:00-04:00,551.53,551.57,551.53,551.55,5920.0
2024-07-05 07:14:00-04:00,551.58,551.58,551.58,551.58,131.0
2024-07-05 07:17:00-04:00,551.68,551.68,551.68,551.68,127.0
2024-07-05 07:18:00-04:00,551.69,551.7,551.68,551.68,712.0
2024-07-05 07:19:00-04:00,551.66,551.66,551.64,551.65,1920.0
2024-07-05 07:20:00-04:00,551.65,551.65,551.631,551.631,2548.0
2024-07-05 07:21:00-04:00,551.64,551.65,551.61,551.65,1896.0
2024-07-05 07:22:00-04:00,551.6,551.6,551.6,551.6,204.0
2024-07-05 07:23:00-04:00,551.65,551.65,551.65,551.65,701.0
2024-07-05 07:27:00-04:00,551.74,551.74,551.7,551.7,2536.0
2024-07-05 07:28:00-04:00,551.72,551.72,551.72,551.72,312.0
2024-07-05 07:29:00-04:00,551.74,551.74,551.74,551.74,287.0
2024-07-05 07:30:00-04:00,551.76,551.76,551.76,551.76,669.0
2024-07-05 07:31:00-04:00,551.79,551.79,551.75,551.75,4001.0
2024-07-05 07:32:00-04:00,551.76,551.76,551.76,551.76,341.0
2024-07-05 07:33:00-04:00,551.74,551.76,551.66,551.66,2840.0
