datetime,open,high,low,close,volume
2024-11-18 04:00:00-05:00,587.66,587.66,586.65,586.69,5676.0
2024-11-18 04:01:00-05:00,586.65,586.65,586.35,586.36,1547.0
2024-11-18 04:02:00-05:00,586.33,586.33,586.26,586.26,2605.0
2024-11-18 04:03:00-05:00,586.25,586.31,586.23,586.31,1281.0
2024-11-18 04:04:00-05:00,586.33,586.38,586.33,586.38,702.0
2024-11-18 04:05:00-05:00,586.2,586.2,586.2,586.2,760.0
2024-11-18 04:06:00-05:00,586.17,586.24,586.15,586.24,33675.0
2024-11-18 04:07:00-05:00,586.21,586.22,586.09,586.13,1416.0
2024-11-18 04:08:00-05:00,586.09,586.21,586.09,586.21,974.0
2024-11-18 04:09:00-05:00,586.24,586.31,586.24,586.27,1276.0
2024-11-18 04:10:00-05:00,586.38,586.38,586.38,586.38,956.0
2024-11-18 04:11:00-05:00,586.29,586.29,586.28,586.28,1244.0
2024-11-18 04:12:00-05:00,586.34,586.36,586.32,586.32,1027.0
2024-11-18 04:13:00-05:00,586.3,586.3,586.3,586.3,285.0
2024-11-18 04:14:00-05:00,586.23,586.23,586.23,586.23,882.0
2024-11-18 04:17:00-05:00,586.09,586.09,585.78,585.78,1726.0
2024-11-18 04:18:00-05:00,585.83,585.93,585.82,585.84,1747.0
2024-11-18 04:20:00-05:00,585.89,585.89,585.89,585.89,337.0
2024-11-18 04:21:00-05:00,585.89,585.89,585.89,585.89,367.0
2024-11-18 04:22:00-05:00,585.89,585.89,585.89,585.89,360.0
2024-11-18 04:24:00-05:00,586.15,586.16,586.15,586.16,460.0
2024-11-18 04:26:00-05:00,586.13,586.13,586.13,586.13,1331.0
2024-11-18 04:27:00-05:00,586.07,586.07,586.07,586.07,327.0
2024-11-18 04:28:00-05:00,586.22,586.25,586.19,586.19,2379.0
2024-11-18 04:29:00-05:00,586.25,586.25,586.25,586.25,1323.0
2024-11-18 04:30:00-05:00,586.05,586.05,586.05,586.05,266.0
2024-11-18 04:31:00-05:00,586.26,586.26,586.26,586.26,189.0
2024-11-18 04:32:00-05:00,586.08,586.08,585.99,586.04,820.0
2024-11-18 04:33:00-05:00,586.01,586.01,586.01,586.01,500.0
2024-11-18 04:34:00-05:00,585.98,585.98,585.98,585.98,428.0
2024-11-18 04:36:00-05:00,585.96,585.96,585.96,585.96,521.0
2024-11-18 04:37:00-05:00,585.95,585.95,585.95,585.95,575.0
2024-11-18 04:39:00-05:00,585.9,585.9,585.89,585.89,458.0
2024-11-18 04:40:00-05:00,585.84,585.85,585.84,585.85,398.0
2024-11-18 04:41:00-05:00,585.91,585.91,585.71,585.72,1370.0
2024-11-18 04:42:00-05:00,585.9,586.04,585.9,586.04,991.0
2024-11-18 04:43:00-05:00,586.05,586.05,586.04,586.04,653.0
2024-11-18 04:45:00-05:00,586.05,586.06,586.05,586.06,2101.0
2024-11-18 04:47:00-05:00,586.06,586.06,586.06,586.06,187.0
